epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,2096.82,1.27236,6.92761,1.0858,0.68522,0.56433,0.63744,0.2876,1.7384,9.77634,1.19554,0.00132373,0.00132373,0.00132373
106,2116.4,1.38624,7.47838,1.10597,0.67406,0.56584,0.62263,0.27741,1.76546,10.8194,1.21988,0.00132043,0.00132043,0.00132043
107,2141.01,1.17133,6.39835,1.0314,0.68874,0.56759,0.61882,0.27636,1.79016,9.78188,1.2517,0.00131713,0.00131713,0.00131713
108,2163.76,1.222,6.34856,1.02273,0.72753,0.54576,0.63192,0.2916,1.71441,8.87008,1.18769,0.00131383,0.00131383,0.00131383
109,2188.98,1.22051,6.32794,1.03165,0.65994,0.56577,0.61768,0.28311,1.69611,8.79685,1.16802,0.00131053,0.00131053,0.00131053
110,2211.75,1.1975,6.35098,1.02504,0.7059,0.5805,0.64984,0.30595,1.70442,8.61702,1.18111,0.00130723,0.00130723,0.00130723
111,2238.92,1.22308,6.44468,1.04557,0.67751,0.59706,0.64701,0.29815,1.71861,9.24208,1.17701,0.00130393,0.00130393,0.00130393
112,2262.86,1.15812,6.35564,1.04469,0.67641,0.57329,0.63665,0.29571,1.71247,9.36521,1.18171,0.00130063,0.00130063,0.00130063
113,2284.4,1.12723,6.10288,1.03853,0.68478,0.56432,0.63887,0.2972,1.66456,8.83624,1.15518,0.00129733,0.00129733,0.00129733
114,2310.13,1.17257,6.25892,1.03297,0.6984,0.57329,0.63804,0.29676,1.69442,9.00342,1.16906,0.00129403,0.00129403,0.00129403
115,2330.67,1.13288,6.11058,1.01807,0.70828,0.54642,0.62123,0.28174,1.69147,9.19987,1.17886,0.00129072,0.00129072,0.00129072
116,2351.91,1.18068,6.2611,1.01463,0.72513,0.55537,0.6456,0.29864,1.65702,9.15912,1.17359,0.00128742,0.00128742,0.00128742
117,2370.47,1.19868,6.28675,1.03011,0.73079,0.57033,0.65988,0.30642,1.65098,8.82451,1.16854,0.00128412,0.00128412,0.00128412
118,2402.67,1.12751,6.07769,1.02966,0.69244,0.58143,0.64555,0.29178,1.69453,9.24564,1.17417,0.00128082,0.00128082,0.00128082
119,2422.35,1.17369,6.20236,1.01592,0.68761,0.56821,0.64217,0.29559,1.72933,9.02289,1.18938,0.00127752,0.00127752,0.00127752
120,2453.3,1.19923,6.44361,1.05324,0.67862,0.61215,0.65408,0.28866,1.7309,9.01899,1.19268,0.00127422,0.00127422,0.00127422
121,2472.77,1.14762,6.30087,1.00885,0.67634,0.59609,0.64869,0.28949,1.73307,8.98615,1.1908,0.00127092,0.00127092,0.00127092
122,2496.46,1.14879,6.10427,1.03429,0.69393,0.57736,0.64649,0.29416,1.72988,9.00362,1.21103,0.00126762,0.00126762,0.00126762
123,2515.09,1.20736,6.29583,1.02212,0.72993,0.54723,0.62786,0.28954,1.70423,9.1996,1.19388,0.00126432,0.00126432,0.00126432
124,2538.01,1.14971,6.19389,1.02814,0.69755,0.58408,0.64887,0.29934,1.67781,8.36808,1.18519,0.00126102,0.00126102,0.00126102
125,2557.96,1.09862,5.86617,1.01115,0.69107,0.59446,0.65542,0.30632,1.65988,8.55496,1.17295,0.00125772,0.00125772,0.00125772
126,2576.23,1.15201,6.14663,1.03602,0.69925,0.59121,0.6515,0.30517,1.68015,8.42918,1.18382,0.00125442,0.00125442,0.00125442
