epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1845.22,1.38932,7.42707,1.08947,0.68427,0.55375,0.62875,0.28131,1.73961,8.89614,1.15788,0.00125112,0.00125112,0.00125112
128,1857.46,1.40484,7.54681,1.06443,0.67385,0.54723,0.60936,0.2761,1.75147,9.12638,1.17317,0.00124782,0.00124782,0.00124782
129,1868.84,1.32521,7.33406,1.08993,0.68056,0.59609,0.62903,0.27973,1.76324,9.41192,1.16512,0.00124452,0.00124452,0.00124452
130,1880.35,1.4112,7.35111,1.06695,0.67638,0.54124,0.61659,0.28116,1.77372,9.11447,1.17566,0.00124121,0.00124121,0.00124121
131,1892.92,1.32805,7.34154,1.08959,0.69032,0.55782,0.63304,0.28526,1.74465,8.9171,1.17599,0.00123791,0.00123791,0.00123791
132,1905.68,1.43686,7.48175,1.07679,0.6624,0.58876,0.63601,0.28815,1.74498,9.06938,1.17257,0.00123461,0.00123461,0.00123461
133,1920.74,1.38186,7.26611,1.06899,0.68299,0.57329,0.64318,0.2879,1.76827,9.1115,1.18628,0.00123131,0.00123131,0.00123131
134,1932.45,1.28617,6.92334,1.05688,0.68241,0.54072,0.61331,0.2715,1.80074,9.28832,1.20065,0.00122801,0.00122801,0.00122801
135,1943.88,1.40718,7.33664,1.05417,0.66808,0.57085,0.63281,0.27563,1.80834,9.10002,1.21068,0.00122471,0.00122471,0.00122471
136,1956.51,1.35856,7.20212,1.08788,0.69479,0.55537,0.63032,0.27486,1.79767,8.94296,1.19506,0.00122141,0.00122141,0.00122141
137,1968.13,1.41603,7.3625,1.05833,0.71889,0.54562,0.62213,0.27613,1.78607,8.79651,1.20971,0.00121811,0.00121811,0.00121811
138,1991.05,1.40782,7.50778,1.06623,0.68394,0.53339,0.61467,0.26696,1.77565,9.37498,1.19279,0.00121481,0.00121481,0.00121481
139,2003.36,1.42347,7.30361,1.07513,0.67238,0.54967,0.61828,0.26799,1.7852,9.12054,1.20808,0.00121151,0.00121151,0.00121151
140,2015.9,1.41895,7.41847,1.08692,0.68607,0.52606,0.60977,0.27333,1.75699,9.07256,1.1829,0.00120821,0.00120821,0.00120821
141,2028.16,1.38571,7.59277,1.10841,0.69487,0.56596,0.63349,0.27837,1.74164,8.85697,1.16815,0.00120491,0.00120491,0.00120491
142,2039.85,1.4313,7.49644,1.05782,0.71383,0.54153,0.63893,0.2802,1.75184,8.85444,1.16849,0.00120161,0.00120161,0.00120161
143,2051.98,1.37694,7.465,1.05688,0.72319,0.55619,0.64349,0.28345,1.75889,8.82686,1.17365,0.00119831,0.00119831,0.00119831
144,2063.42,1.37386,7.22779,1.05727,0.68433,0.56107,0.62854,0.28262,1.75968,8.87624,1.16354,0.00119501,0.00119501,0.00119501
145,2075.06,1.36301,7.05383,1.04893,0.65068,0.57085,0.62681,0.28096,1.75987,9.00021,1.16118,0.0011917,0.0011917,0.0011917
146,2087.01,1.43462,7.32379,1.05037,0.64103,0.57818,0.61932,0.27332,1.7842,9.36756,1.16977,0.0011884,0.0011884,0.0011884
147,2098.57,1.39813,7.23449,1.02428,0.61742,0.56352,0.6045,0.26752,1.78759,9.0421,1.16371,0.0011851,0.0011851,0.0011851
148,2110.21,1.40405,7.47432,1.07138,0.66228,0.58143,0.63062,0.28256,1.75256,8.92669,1.15866,0.0011818,0.0011818,0.0011818
149,2127.18,1.40938,7.42732,1.06714,0.68858,0.57492,0.62707,0.27529,1.77164,8.87258,1.18728,0.0011785,0.0011785,0.0011785
150,2143.97,1.35762,7.18413,1.07824,0.69149,0.5285,0.5958,0.2569,1.81759,9.156,1.20917,0.0011752,0.0011752,0.0011752
151,2169.91,1.39236,7.18543,1.06315,0.68938,0.55782,0.61975,0.2717,1.7824,9.24546,1.20213,0.0011719,0.0011719,0.0011719
152,2184.11,1.40338,7.36547,1.07482,0.64755,0.55657,0.6075,0.26716,1.80064,9.19041,1.2054,0.0011686,0.0011686,0.0011686
153,2204.66,1.37207,7.36281,1.07703,0.66873,0.57085,0.63415,0.28058,1.7854,8.82835,1.20815,0.0011653,0.0011653,0.0011653
154,2233.44,1.33613,7.03376,1.03975,0.67596,0.56107,0.62178,0.28165,1.76751,8.91268,1.19422,0.001162,0.001162,0.001162
155,2246.82,1.4356,7.20491,1.04199,0.67518,0.58397,0.65187,0.29405,1.73952,8.71588,1.17752,0.0011587,0.0011587,0.0011587
156,2260.03,1.36185,7.07926,1.08246,0.68268,0.57655,0.64148,0.28789,1.74659,8.82065,1.17721,0.0011554,0.0011554,0.0011554
157,2272.77,1.3591,7.22258,1.05506,0.70654,0.59209,0.65526,0.28844,1.72445,8.97956,1.16117,0.0011521,0.0011521,0.0011521
158,2286.08,1.25849,6.82061,1.03469,0.68651,0.56174,0.63659,0.28072,1.74345,8.81887,1.15996,0.0011488,0.0011488,0.0011488
159,2298.1,1.34934,6.95056,1.03253,0.67791,0.5684,0.64246,0.28765,1.73712,8.58369,1.16185,0.0011455,0.0011455,0.0011455
160,2319.5,1.34679,6.9348,1.0383,0.67466,0.57003,0.64062,0.29164,1.73132,8.65392,1.15651,0.0011422,0.0011422,0.0011422
161,2332.47,1.31972,6.98874,1.04328,0.66917,0.59528,0.64162,0.29036,1.74676,8.61036,1.17586,0.00113889,0.00113889,0.00113889
162,2344.97,1.37751,7.30745,1.04185,0.66836,0.56026,0.62157,0.27694,1.77531,8.73786,1.18094,0.00113559,0.00113559,0.00113559
163,2361.03,1.38041,6.98473,1.03836,0.67771,0.53583,0.60859,0.26657,1.83348,8.96045,1.20575,0.00113229,0.00113229,0.00113229
164,2373.36,1.41008,7.25239,1.02943,0.67416,0.60749,0.64995,0.28634,1.76669,8.72514,1.17884,0.00112899,0.00112899,0.00112899
165,2385.16,1.43052,7.33358,1.0514,0.67031,0.50977,0.58081,0.25279,1.85467,9.05297,1.21096,0.00112569,0.00112569,0.00112569
166,2397.63,1.44629,7.47857,1.06049,0.73803,0.56515,0.64629,0.28691,1.75144,8.86643,1.19459,0.00112239,0.00112239,0.00112239
167,2409.65,1.35993,7.21392,1.05762,0.6977,0.54315,0.62264,0.27988,1.74932,8.72037,1.18169,0.00111909,0.00111909,0.00111909
168,2422.57,1.32861,6.97283,1.03938,0.71899,0.56026,0.63572,0.28494,1.76039,8.85703,1.17242,0.00111579,0.00111579,0.00111579
169,2434.79,1.35666,6.95323,1.01262,0.66738,0.56532,0.61437,0.27171,1.78069,8.66601,1.18057,0.00111249,0.00111249,0.00111249
170,2447.12,1.33389,6.91964,1.03001,0.6711,0.59528,0.64503,0.28387,1.76529,8.76894,1.18324,0.00110919,0.00110919,0.00110919
171,2469.14,1.38949,7.22247,1.05405,0.66255,0.57818,0.63081,0.27814,1.7779,8.70294,1.19345,0.00110589,0.00110589,0.00110589
172,2489.3,1.31187,6.8682,1.04185,0.71562,0.54479,0.63445,0.28259,1.75205,9.11922,1.17985,0.00110259,0.00110259,0.00110259
173,2508.04,1.36095,7.09971,1.04478,0.70281,0.54316,0.626,0.28143,1.74497,8.94608,1.18325,0.00109929,0.00109929,0.00109929
174,2520.03,1.30886,6.76814,1.04039,0.68491,0.56678,0.62778,0.2802,1.75233,8.99892,1.18549,0.00109599,0.00109599,0.00109599
175,2531.76,1.32391,6.90275,1.0445,0.719,0.55008,0.63589,0.28182,1.75249,8.82453,1.17883,0.00109269,0.00109269,0.00109269
176,2543.46,1.29906,6.85036,1.03116,0.72168,0.56107,0.64193,0.2921,1.74057,8.9829,1.16441,0.00108938,0.00108938,0.00108938
177,2555.27,1.36323,6.99095,1.02203,0.73134,0.54316,0.6353,0.27631,1.78672,8.72484,1.19065,0.00108608,0.00108608,0.00108608
178,2567.3,1.36304,6.95706,1.03889,0.69643,0.56606,0.64276,0.28829,1.74175,8.6299,1.18166,0.00108278,0.00108278,0.00108278
179,2578.81,1.35239,6.94508,1.01251,0.67103,0.58306,0.63076,0.27538,1.76598,8.63742,1.17954,0.00107948,0.00107948,0.00107948
180,2591.17,1.3409,7.1506,1.04802,0.7053,0.5574,0.64284,0.28659,1.75541,8.66969,1.18736,0.00107618,0.00107618,0.00107618
181,2603.02,1.32739,7.04586,1.03204,0.67735,0.57271,0.63707,0.27908,1.76905,8.64688,1.20099,0.00107288,0.00107288,0.00107288
